,Country,City,Cloudiness (%),Lat,Lon,Humidity (%),Wind Speed (mph),Temp Min,Temp Max,Date
151,RU,Severo-Kuril'sk,100,50.68,156.12,91,25.52,46.92,46.92,1603576830
152,VE,Puerto Ayacucho,74,5.66,-67.62,81,1.77,80.15,80.15,1603576832
153,GB,Newport,100,51.59,-3.0,97,1.99,46.0,51.01,1603576618
154,ID,Indramayu,100,-6.33,108.32,78,12.39,78.33,78.33,1603576834
155,SO,Bosaso,23,11.28,49.18,40,5.19,79.07,79.07,1603576836
156,RU,Tiksi,100,71.69,128.87,92,24.49,11.77,11.77,1603576837
157,NZ,Kaitangata,100,-46.28,169.85,48,10.94,70.09,70.09,1603576838
158,TL,Airai,11,-8.93,125.41,94,0.87,63.57,63.57,1603576840
159,TR,Tarsus,0,36.92,34.88,46,5.82,71.6,71.6,1603576740
160,RU,Anadyr,75,64.75,177.48,92,4.47,21.2,21.2,1603576842
161,ET,Gimbi,0,9.17,35.83,99,0.94,55.42,55.42,1603576811
162,RU,Kichmengskiy Gorodok,0,59.98,45.79,97,4.45,30.36,30.36,1603576844
163,NZ,Wanaka,100,-44.7,169.15,78,8.08,59.09,59.09,1603576846
164,ID,Banjar,40,-8.19,114.97,88,2.24,78.8,78.8,1603576847
165,NE,Gouré,89,13.98,10.27,16,10.0,84.0,84.0,1603576849
166,US,Oak Ridge,1,36.01,-84.27,82,4.43,64.0,66.99,1603576814
167,BR,Caravelas,77,-17.71,-39.25,85,8.1,75.31,75.31,1603576584
168,CN,Xichang,87,27.9,102.26,74,1.23,57.16,57.16,1603576853
169,BR,Caiapônia,94,-16.96,-51.81,91,8.9,71.17,71.17,1603576854
170,CA,Saint-Augustin,100,51.23,-58.65,86,17.58,45.93,45.93,1603576856
171,ZA,East London,4,-33.02,27.91,83,0.4,69.44,69.44,1603576857
172,CO,Magangué,100,9.24,-74.75,87,5.86,81.55,81.55,1603576859
173,VN,Vinh,96,18.67,105.67,72,5.91,69.67,69.67,1603576860
174,US,Natchez,90,31.56,-91.4,87,8.05,57.2,57.2,1603576861
175,BR,Camocim,42,-2.9,-40.84,76,18.92,81.01,81.01,1603576862
176,RU,Urengoy,100,65.97,78.37,95,8.7,14.09,14.09,1603576864
177,US,Lompoc,90,34.64,-120.46,68,10.29,64.4,66.2,1603576755
178,ML,Bafoulabé,4,13.81,-10.83,23,1.61,84.4,84.4,1603576866
179,CD,Bukama,46,-9.2,25.85,73,0.69,75.79,75.79,1603576867
180,RU,Ust-Maya,77,60.42,134.53,95,2.42,10.83,10.83,1603576869
181,CN,Shitanjing,43,39.23,106.34,57,3.47,45.05,45.05,1603576870
182,BR,Paraúna,81,-16.95,-50.45,77,8.95,73.99,73.99,1603576872
183,OM,Sur,0,22.57,59.53,50,10.76,77.16,77.16,1603576873
184,RU,Mugur-Aksy,25,50.35,90.5,83,6.67,14.99,14.99,1603576874
185,NO,Øksfjord,75,70.24,22.35,80,11.41,36.0,39.2,1603576876
186,NZ,Whitianga,3,-36.83,175.7,66,5.61,65.48,65.48,1603576877
187,GL,Narsaq,30,60.92,-46.05,68,3.36,30.2,30.2,1603576878
188,ZM,Mwinilunga,87,-11.74,24.43,48,2.15,67.39,67.39,1603576880
189,IR,Sabzawār,0,36.21,57.68,53,5.97,46.83,46.83,1603576881
190,CA,Halifax,100,44.65,-63.57,99,3.85,54.0,55.99,1603576863
191,PF,Faanui,42,-16.48,-151.75,74,7.09,79.32,79.32,1603576883
192,BR,Vitória,40,-20.32,-40.34,100,4.7,71.6,71.6,1603576603
193,IN,Pithora,24,21.27,82.52,66,1.59,69.19,69.19,1603576886
194,AR,Comodoro Rivadavia,75,-45.87,-67.5,59,14.99,60.8,60.8,1603576887
195,US,Fortuna,1,40.6,-124.16,67,14.99,57.0,61.0,1603576681
196,AU,Yulara,0,-25.24,130.99,47,11.41,59.0,59.0,1603576873
197,KZ,Zhezkazgan,89,47.8,67.71,66,14.81,34.81,34.81,1603576890
198,CO,Mapiripán,35,2.89,-72.13,76,3.89,83.28,83.28,1603576892
199,ID,Padang,100,-0.95,100.35,78,4.05,77.83,77.83,1603576893
200,NO,Trofors,78,65.53,13.41,60,11.41,39.0,39.2,1603576894
201,RU,Nyurba,82,63.28,118.33,95,5.88,21.36,21.36,1603576895
202,JP,Hasaki,20,35.73,140.83,100,1.12,44.6,44.6,1603576897
203,VE,San Cristobal,40,7.77,-72.22,58,9.17,87.8,87.8,1603576898
204,SO,Hobyo,89,5.35,48.53,79,12.44,78.66,78.66,1603576900
205,US,Excelsior Springs,90,39.34,-94.23,65,8.05,41.0,42.8,1603576901
206,US,Berwick,31,41.05,-76.23,58,5.01,50.0,53.01,1603576902
207,PT,Camacha,20,33.08,-16.33,72,3.36,62.6,62.6,1603576903
208,SL,Bonthe,91,7.53,-12.51,82,4.25,79.32,79.32,1603576905
209,ES,Los Llanos de Aridane,90,28.66,-17.92,56,8.05,62.01,73.4,1603576906
210,ID,Bengkulu,100,-3.8,102.27,84,3.83,76.33,76.33,1603576908
211,AU,Codrington,64,-38.27,141.97,69,19.44,48.78,48.78,1603576909
212,BR,Amapá,72,1.0,-52.0,52,3.53,84.94,84.94,1603576910
213,BR,Camapuã,63,-19.53,-54.04,66,2.1,80.08,80.08,1603576912
214,CA,Norman Wells,75,65.28,-126.83,92,9.17,21.2,21.2,1603576913
215,NA,Lüderitz,17,-26.65,15.16,74,16.02,61.23,61.23,1603576914
216,CA,Iqaluit,90,63.75,-68.51,86,4.54,26.6,26.6,1603576915
217,IN,Madanapalle,71,13.55,78.5,84,1.54,70.54,70.54,1603576917
218,AU,Mount Gambier,75,-37.83,140.77,75,9.17,46.4,46.4,1603576918
219,TH,Chon Daen,64,16.19,100.86,90,1.74,71.01,71.01,1603576919
220,CA,Haines Junction,100,60.75,-137.51,73,1.3,27.93,27.93,1603576921
221,RU,Suksun,100,57.14,57.39,97,11.72,38.88,38.88,1603576922
222,ES,Cervo,77,43.67,-7.41,89,7.0,59.0,59.0,1603576923
223,CO,Juradó,100,7.11,-77.76,90,7.34,76.82,76.82,1603576924
224,AU,Biloela,84,-24.42,150.5,67,8.16,75.67,75.67,1603576926
225,BR,Grajaú,100,-5.82,-46.14,71,2.66,80.46,80.46,1603576927
226,NA,Walvis Bay,0,-22.96,14.51,82,5.82,57.2,57.99,1603576928
227,PK,Keti Bandar,0,24.14,67.45,63,8.12,78.48,78.48,1603576929
228,US,Westport,40,41.14,-73.36,72,9.17,59.0,62.6,1603576864
229,GL,Ilulissat,51,69.22,-51.1,62,10.29,21.2,21.2,1603576932
230,MG,Manakara,8,-22.13,48.02,86,5.19,68.67,68.67,1603576933
231,RU,Ust'-Omchug,100,61.15,149.63,97,3.47,31.73,31.73,1603576934
232,FO,Vestmanna,5,62.16,-7.17,81,16.11,46.4,46.4,1603576935
233,ET,Kibre Mengist,53,5.88,38.98,94,2.53,56.55,56.55,1603576936
234,BR,Itarema,0,-2.92,-39.92,79,15.46,79.81,79.81,1603576938
235,RU,Dikson,13,73.51,80.55,94,5.68,22.28,22.28,1603576939
236,RU,Tokur,100,53.13,132.9,97,7.72,26.56,26.56,1603576940
237,MZ,Lichinga,31,-13.31,35.24,65,5.93,65.43,65.43,1603576941
238,RU,Dudinka,75,69.41,86.18,92,11.18,14.0,14.0,1603576942
239,JP,Ryōtsu-minato,40,38.08,138.43,62,20.8,57.2,57.2,1603576938
240,AZ,Julfa,0,38.96,45.63,53,9.17,50.0,50.0,1603576944
241,CM,Mfou,97,3.72,11.64,99,4.63,68.88,68.88,1603576945
242,PT,Lagoa,87,39.05,-27.98,78,18.45,65.88,65.88,1603576946
243,KG,Kyzyl-Oktyabr,95,42.77,75.73,70,0.87,38.98,38.98,1603576948
244,CN,Xining,92,36.62,101.77,62,2.64,45.07,45.07,1603576840
245,US,Havelock,1,34.88,-76.9,57,6.93,73.99,77.0,1603576757
246,PT,Aljezur,24,37.32,-8.8,79,4.43,59.45,59.45,1603576951
247,RU,Belyy Yar,0,53.6,91.39,53,13.42,26.6,26.6,1603576952
248,MX,Pochutla,90,15.74,-96.47,70,4.72,86.0,86.0,1603576954
249,PR,Hatillo,40,18.49,-66.83,70,3.36,77.0,87.01,1603576955
250,ID,Muncar,83,-8.43,114.33,88,0.31,76.33,76.33,1603576956
251,CA,Clyde River,90,70.47,-68.59,73,4.7,19.4,19.4,1603576957
252,VU,Isangel,75,-19.55,169.27,69,11.43,80.6,80.6,1603576958
253,CN,Altay,1,47.87,88.12,85,3.56,23.29,23.29,1603576959
254,NZ,Kaeo,21,-35.1,173.78,69,5.99,71.01,71.01,1603576961
255,ID,Ambon City,20,-3.7,128.18,94,6.93,77.0,77.0,1603576962
256,RU,Toropets,97,56.5,31.64,96,5.41,43.05,43.05,1603576963
257,US,Alpena,90,45.06,-83.43,74,3.36,37.0,39.0,1603576965
258,RU,Zabaykal'sk,100,49.63,117.32,91,2.26,31.01,31.01,1603576966
259,BR,Natal,40,-5.79,-35.21,83,9.17,78.8,78.8,1603576967
260,CN,Yima,1,34.74,111.88,99,0.25,55.99,55.99,1603576968
261,SN,Saint-Louis,100,16.33,-15.0,13,13.42,95.13,95.13,1603576928
262,GL,Sisimiut,7,66.94,-53.67,90,13.33,23.22,23.22,1603576971
263,AU,Alice Springs,0,-23.7,133.88,42,13.87,62.6,62.6,1603576893
264,AU,Port Lincoln,90,-34.73,135.87,66,16.28,52.86,52.86,1603576706
265,AF,Dawlatabad,0,36.41,64.91,68,3.09,40.68,40.68,1603576974
266,BR,Soure,3,-0.72,-48.52,79,11.97,80.78,80.78,1603576976
267,AU,Esperance,9,-33.87,121.9,100,11.41,50.0,50.0,1603576977
268,AW,Oranjestad,20,12.52,-70.03,74,21.92,86.0,86.0,1603576978
269,RU,Agirish,100,61.92,63.02,97,9.01,23.36,23.36,1603576979
270,NZ,Brightwater,58,-41.38,173.12,77,1.99,64.0,64.0,1603576980
271,CD,Kaniama,100,-7.57,24.18,92,1.19,67.17,67.17,1603576981
272,ZA,Port Elizabeth,14,-33.92,25.57,86,3.22,62.01,62.01,1603576982
273,IS,Husavik,90,66.04,-17.34,75,19.46,41.0,41.0,1603576984
274,RE,Saint-Joseph,0,-21.37,55.62,60,5.82,68.0,68.0,1603576985
275,PH,Malayal,75,7.21,121.94,100,4.7,77.0,77.0,1603576986
276,US,Rock Hill,20,34.92,-81.03,57,5.82,75.0,80.01,1603576820
277,KZ,Emba,44,48.83,58.14,66,14.2,45.97,45.97,1603576988
278,CN,Lingdong,31,46.57,131.15,91,11.59,32.58,32.58,1603576989
279,EC,Puerto Baquerizo Moreno,75,-0.9,-89.6,88,18.34,71.6,71.6,1603576812
280,CA,Port-Cartier,40,50.03,-66.87,81,14.99,42.01,42.8,1603576992
281,TR,Bitlis Province,0,38.5,42.25,53,2.91,45.79,45.79,1603576993
282,CL,Coquimbo,90,-29.95,-71.34,71,8.05,57.2,57.2,1603576994
283,KR,Seoul,1,37.57,126.98,93,1.19,35.6,39.2,1603576954
284,RU,Batagay-Alyta,100,67.8,130.41,86,4.97,9.45,9.45,1603576996
285,LR,Harper,83,4.38,-7.72,86,5.73,77.97,77.97,1603576997
286,CN,Hohhot,20,40.81,111.65,49,2.24,46.4,46.4,1603576998
287,IS,Olafsvik,100,64.89,-23.71,77,43.66,41.36,41.36,1603577000
288,RU,Evensk,71,61.95,159.23,90,9.1,31.8,31.8,1603577001
289,RU,Teya,100,60.38,92.63,96,7.81,26.49,26.49,1603577002
290,VE,Barinitas,98,8.76,-70.41,87,1.59,75.2,75.2,1603577003
291,NO,Gravdal,0,68.12,13.5,72,9.19,40.57,40.57,1603577004
292,US,Avera,1,33.19,-82.53,69,3.36,75.99,78.8,1603577005
293,CN,Jinchang,100,38.5,102.17,48,2.73,46.74,46.74,1603577006
294,YE,Aden,0,12.78,45.04,62,12.39,83.25,83.25,1603576713
295,RU,Dzhebariki-Khaya,59,62.22,135.8,93,2.46,10.45,10.45,1603577009
296,PH,Dingle,94,11.0,122.67,90,2.08,74.53,74.53,1603577010
297,RU,Leningradskiy,30,69.38,178.42,93,7.29,22.68,22.68,1603577011
298,RU,Andra,100,62.51,65.89,93,12.12,23.83,23.83,1603577012
299,CN,Hongjiang,30,27.11,110.0,78,1.59,54.61,54.61,1603577013
300,IN,Bharatpur,0,27.22,77.48,22,3.09,71.76,71.76,1603577015
301,PE,Pisco,0,-13.7,-76.22,77,18.34,64.99,66.2,1603577016
302,RU,Mirny,75,62.54,113.96,85,4.47,23.0,23.0,1603577017
303,VE,El Tigre,67,8.89,-64.25,77,7.34,79.61,79.61,1603577018
304,PG,Namatanai,23,-3.67,152.43,73,2.62,82.98,82.98,1603577019
305,BR,Mangaratiba,100,-22.96,-44.04,93,3.38,71.01,71.01,1603577020
306,MX,San Quintín,95,30.48,-115.95,67,13.47,69.71,69.71,1603577022
307,IS,Vestmannaeyjar,82,63.44,-20.27,62,26.46,46.31,46.31,1603577023
308,FR,Antibes,0,43.56,7.13,87,5.82,53.6,57.2,1603576748
309,CA,Moose Factory,90,51.26,-80.61,47,10.29,33.8,33.8,1603577025
310,CN,Kaitong,10,44.81,123.15,77,6.67,37.08,37.08,1603577026
311,JP,Toyooka,40,35.53,134.83,76,9.17,48.2,48.2,1603577027
312,GH,Esim,84,4.87,-2.24,87,8.66,78.03,78.03,1603577028
313,RU,Tulun,100,54.56,100.58,93,18.19,32.61,32.61,1603577029
314,PE,Huancavelica,94,-12.77,-74.98,56,3.4,50.0,50.0,1603577031
315,RU,Serebryanyy Bor,76,56.8,124.8,98,2.19,22.01,22.01,1603577032
316,KZ,Abay,0,49.63,72.85,58,15.66,28.4,28.4,1603577033
317,NC,Vao,69,-22.67,167.48,80,14.45,73.09,73.09,1603577034
318,NG,Lafiagi,95,8.87,5.42,61,3.65,78.93,78.93,1603577035
319,US,Peru,1,40.75,-86.07,57,8.05,48.99,50.0,1603576807
320,US,Broome,90,42.25,-75.83,70,11.41,39.99,46.0,1603577037
321,CA,Pincher Creek,75,49.48,-113.95,61,8.05,10.0,14.0,1603576974
322,RU,Nizhniy Odes,100,63.64,54.86,98,6.49,26.38,26.38,1603577039
323,US,Yarmouth,90,41.71,-70.23,82,9.17,62.01,64.99,1603577041
324,BO,Santa Cruz de la Sierra,21,-17.8,-63.17,41,11.41,93.2,95.0,1603576807
325,SY,Manbij,75,36.53,37.95,38,3.24,60.8,60.8,1603577043
326,CN,Yining,100,29.04,114.56,62,1.36,56.82,56.82,1603577044
327,ID,Sijunjung,100,-0.69,100.95,89,1.1,73.33,73.33,1603577045
328,BB,Bathsheba,40,13.22,-59.52,70,20.8,84.2,84.2,1603577046
329,US,Benton,90,36.33,-94.33,70,0.65,46.4,46.4,1603577047
330,CA,Chapais,90,49.78,-74.85,79,8.05,28.4,28.4,1603577048
331,IN,Pāsighāt,100,28.07,95.33,88,1.48,71.44,71.44,1603577050
332,AO,Lubango,25,-14.92,13.49,62,1.54,65.88,65.88,1603577051
333,LT,Šalčininkai,75,54.3,25.38,93,10.29,48.99,50.0,1603577052
334,CI,Tabou,42,4.42,-7.35,86,5.82,78.04,78.04,1603577053
335,BR,Cidreira,63,-30.18,-50.21,89,13.09,68.54,68.54,1603577054
336,BR,Cristalina,91,-16.77,-47.61,97,4.92,63.82,63.82,1603577055
